directory,directory_path,directory_depth,file_name,file_path,file_size,file_extension,mime_type,lines_of_code,complexity_score,functions_classes_count,imports_count,patterns_count,last_modified
container,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\paid\container,8,container-block-chart.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\paid\container\container-block-chart.tsx,4493,.tsx,application/octet-stream,175,18,0,0,1,2025-08-28T21:21:28
container,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\paid\container,8,container-cpu-chart.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\paid\container\container-cpu-chart.tsx,3202,.tsx,application/octet-stream,122,12,0,0,1,2025-08-28T21:21:28
container,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\paid\container,8,container-memory-chart.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\paid\container\container-memory-chart.tsx,3928,.tsx,application/octet-stream,142,14,0,0,2,2025-08-28T21:21:28
container,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\paid\container,8,container-network-chart.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\paid\container\container-network-chart.tsx,4585,.tsx,application/octet-stream,179,18,0,0,1,2025-08-28T21:21:28
container,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\paid\container,8,show-paid-compose-monitoring.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\paid\container\show-paid-compose-monitoring.tsx,3630,.tsx,application/octet-stream,133,14,0,0,1,2025-08-28T21:21:28
container,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\paid\container,8,show-paid-container-monitoring.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\paid\container\show-paid-container-monitoring.tsx,7238,.tsx,application/octet-stream,240,25,0,0,1,2025-08-28T21:21:28
servers,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\paid\servers,8,cpu-chart.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\paid\servers\cpu-chart.tsx,2968,.tsx,application/octet-stream,111,11,0,0,1,2025-08-28T21:21:28
servers,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\paid\servers,8,disk-chart.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\paid\servers\disk-chart.tsx,2915,.tsx,application/octet-stream,113,12,0,0,1,2025-08-28T21:21:28
servers,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\paid\servers,8,memory-chart.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\paid\servers\memory-chart.tsx,3307,.tsx,application/octet-stream,124,12,0,0,2,2025-08-28T21:21:28
servers,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\paid\servers,8,network-chart.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\paid\servers\network-chart.tsx,3769,.tsx,application/octet-stream,141,14,0,0,1,2025-08-28T21:21:28
